,Genus,Species,Assessor_ID,unique_ID,Catch.x,WA.x,M.x,Prop. Mature.x,FM.x,TSB,SSB,PDF.file,Notes
1b,Clupea,harengus,NEFSC-GARMIII,"NEFSC-GARMIII_harengus_GOM, CHATT",Tables B1-6 to B1-8 (?),Table B1-11,Page 337,Table B1-12,N/A,Table B4-2,Table B4-2,GOM_CHATT_Clupea_harengus_2018.pdf,
2b,Gadus,morhua,NAFO,NAFO_morhua_3NO,Table 4,Table 23,Page 4,Table 19,Table 22,Table 24,Table 25,NAFO_Gadus_morhua_3NO_2021.pdf,
3b,Gadus,morhua,NAFO,NAFO_morhua_3M,Table 2,Table 5,Table 10,Table 6,Table 8,Table 7,Table 7,NAFO_Gadus_morhua_3M_2024.pdf,
4b,Centropristis,striata,SEFSC,SEFSC_striata_SATL,Table 14,Table 3,Table 3,Table 3,Table 13,N/A,N/A,SEFSC_Centropristis_striata_2023.pdf,
5b,Thunnus,thynnus,ICCAT,ICCAT_thynnus_EATL-MED,N/A,Table 10,Table 10,Table 10,Table 9 (ages 2-5 only),Table 9,Table 9,ICCAT_Thunnus_thynnus_EATL-MED_2022.pdf,
